,isin,instrument_token,exchange_token,exchange,tradingsymbol,name
25,INE073A01019,128063492,500248,BSE,KRIFILIND,KRISHNA FILAMENT INDUSTRIES LI
26,INE270B01035,128067588,500264,BSE,MAFATIND,MAFATLAL INDUSTRIES
27,INE201B01022,128068356,500267,BSE,MAJESAUT,MAJESTIC AUTO
28,INE461A01024,128069124,500270,BSE,BARODARY,BARODA RAYON CORPORATION
29,INE401C01018,128070916,500277,BSE,MIDINDIA,MID INDIA INDUSTRIES
30,INE285B01017,128072964,500285,BSE,SPICEJET,SPICEJET
31,INE585A01020,128076292,500298,BSE,NAPEROL,NAPEROL INVESTMENTS 
32,INE910A01012,128078596,500307,BSE,NIRLON,NIRLON
33,INE557C01017,128081668,500319,BSE,INDSUCR,INDIAN SUCROSE
34,INE167E01037,128082436,500322,BSE,PANCM,PANYAM CEMENTS & MINERAL INDUS
35,INE609A01010,128088580,500346,BSE,PUNJCOMMU,PUNJAB COMMUNICATIONS
36,INE425E01013,128091396,500357,BSE,RAMAPPR-B,RAMA PAPER MILLS
37,INE350D01015,128092164,500360,BSE,RAPICUT,RAPICUT CARBIDES
38,INE731F01037,128093444,500365,BSE,WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LI
39,INE924A01013,128094724,500370,BSE,SALORAINTL,SALORA INTERNATIONAL
40,INE970C01012,128099332,500388,BSE,SKPMIL,SHREE KRISHNA PAPER MILLS & IN
41,INE064A01026,128105988,500414,BSE,TIMEX,TIMEX GROUP INDIA
42,INE578C01021,128107780,500421,BSE,TPINDIA,TPI INDIA
43,INE019B01010,128108036,500422,BSE,TRANSCHEM,TRANSCHEM
44,INE184E01024,128109060,500426,BSE,UTLINDS,UTL INDUSTRIES
45,INE048A01011,128114948,500449,BSE,HOCL,HINDUSTAN ORGANIC CHEMICALS LT
46,INE844C01027,128115204,500450,BSE,MPILCORPL,MPIL CORPORATION
47,INE601A01017,128117252,500458,BSE,TEAM24,TEAM24 CONSUMER PRODUCTS LIMIT
48,INE253A01025,128128004,500500,BSE,HINDMOTORS,HINDUSTAN MOTORS
49,INE234A01025,128172036,500672,BSE,NOVARTIND,NOVARTIS INDIA
50,INE371U01015,128284164,501110,BSE,SUNRINV,SUNRISE INDUSTRIAL TRADERS
51,INE598F01014,128284420,501111,BSE,ZGOLDINV,GOLD ROCK INVESTMENTS
52,INE644U01015,128292868,501144,BSE,PEOPLIN,PEOPLES INVESTMENTS
53,INE422D01012,128293892,501148,BSE,DSINVEST,DALAL STREET INVESTMENTS
54,INE825M01017,128325124,501270,BSE,ANTARIKSH,ANTARIKSH INDUSTRIES
55,INE620D01011,128332292,501298,BSE,INDPRUD,INDUSTRIAL & PRUDENTIAL INVEST
56,INE998D01011,128335620,501311,BSE,JAYBHCR,JAYABHARAT CREDIT
57,INE286N01028,128336388,501314,BSE,PRISMX,PRISMX GLOBAL VENTURES
58,INE154M01012,128345860,501351,BSE,RAPIDIN,RAPID INVESTMENTS
59,INE695D01021,128350724,501370,BSE,WALCHPF,WALCHAND PEOPLEFIRST
60,INE094R01019,128354820,501386,BSE,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTM
61,INE855A01019,128356100,501391,BSE,WHBRADY,W.H.BRADY & CO.LTD.
62,INE314H01012,128363780,501421,BSE,TECHNVISN,TECHNVISION VENTURES 
63,INE691K01017,128366084,501430,BSE,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LT
64,INE003F01015,128378116,501477,BSE,MULLER,MULLER & PHIPPS (INDIA)
65,INE02ZA01012,128378628,501479,BSE,SFTL,SPRINGFORM TECHNOLOGY
66,INE492N01022,128415236,501622,BSE,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD
67,INE134R01013,128417284,501630,BSE,ANANDPROJ,ANAND PROJECTS
68,INE131H01028,128435204,501700,BSE,INDIANVSH,INDIANIVESH
69,INE490A01015,128469252,501833,BSE,CHOWGULSTM,CHOWGULE STEAMSHIPS
70,INE446C01013,128473092,501848,BSE,GLOBOFFS,GLOBAL OFFSHORE SERVICES
71,INE758D01027,128497924,501945,BSE,DHENUBUILD,DHENU BUILDCON INFRA
72,INE443A01030,128515844,502015,BSE,ASIIL,ASI INDUSTRIES
73,INE347D01011,128576004,502250,BSE,LERTHAI,LERTHAI FINANCE
74,INE094C01011,128583940,502281,BSE,TRIVENIGQ,TRIVENI GLASS
75,INE416N01013,128587268,502294,BSE,NILACHAL,NILACHAL REFRACTORIES
76,INE906D01014,128625924,502445,BSE,CITADEL,CITADEL REALTY AND DEVELOPERS
77,INE777A01023,128662276,502587,BSE,NATHIND,NATH INDUSTRIES
78,INE464D01014,128662788,502589,BSE,VAPIENTER,VAPI ENTERPRISE
79,INE837X01027,128729604,502850,BSE,ZGAEKWAR,GAEKWAR MILLS
80,INE518A01013,128733444,502865,BSE,FORBESCO,FORBES & COMPANY
81,INE950C01014,128735492,502873,BSE,HPCOTTON,H.P.COTTON TEXTILE MILLS
82,INE706D01018,128740612,502893,BSE,UNITEDINT,UNITED INTERACTIVE
83,INE462D01034,128742660,502901,BSE,JAMSHRI,JAMSHRI REALTY
84,INE498G01015,128750852,502933,BSE,KATRSPG,KATARE SPINNING MILLS
85,INE938C01019,128757252,502958,BSE,LAKSHMIMIL,LAKSHMI MILLS COMPANY
86,INE909B01020,128791556,503092,BSE,PASUSPG,PASUPATI SPG.& WVG.MILLS
87,INE491N01016,128800516,503127,BSE,RAJABAH,RAJA BAHADUR INTERNATIONAL
88,INE167H01014,128826628,503229,BSE,SIMPLXREA,SIMPLEX REALTY
89,INE203D01016,128857348,503349,BSE,VICTMILL,VICTORIA MILLS
90,INE404N01019,128927236,503622,BSE,ZSVTRADI,S.V.TRADING & AGENCIES
91,INE406N01014,128927748,503624,BSE,ZSVARAJT,SVARAJ TRADING & AGENCIES
92,INE733N01011,128928260,503626,BSE,KSHITIJ,KSHITIZ INVESTMENT
93,INE315N01017,128930564,503635,BSE,SALSAIN,SHREE SALASAR INVESTMENT
94,INE314N01028,128931588,503639,BSE,INDSOYA,INDSOYA
95,INE945J01027,128932100,503641,BSE,ZODIACVEN,ZODIAC VENTURES
96,INE255E01030,128936196,503657,BSE,VEERENRGY,VEER ENERGY & INFRASTRUCTURE L
97,INE948K01011,128936708,503659,BSE,SW1,SW INVESTMENTS
98,INE026L01022,128937732,503663,BSE,TILAK,TILAK VENTURES 
99,INE130N01010,128939780,503671,BSE,UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.
100,INE786K01023,128940804,503675,BSE,WAGEND,WAGEND INFRA VENTURE
101,INE927X01018,128942340,503681,BSE,ELCIDIN,ELCID INVESTMENTS
102,INE828I01019,128943364,503685,BSE,MEDIAONE,MEDIAONE GLOBAL ENTERTAINMENT
103,INE160N01017,128944388,503689,BSE,HEALINV,HEALTHY INVESTMENTS
104,INE475V01012,128946180,503696,BSE,SHRENTI,SHREENATH INVESTMENTS CO.LTD.
105,INE380D01012,128965636,503772,BSE,MODWOOL,MODELLA WOOLLENS
106,INE170C01019,128966660,503776,BSE,MODIPON,MODIPON
107,INE204C01024,128973828,503804,BSE,SHRIDINE,SHRI DINESH MILLS
108,INE243N01029,128976900,503816,BSE,SWADPOL,SWADESHI POLYTEX
109,INE796C01011,128982276,503837,BSE,SHRAJSYNQ,SHREE RAJASTHAN SYNTEX
110,INE07MC01015,128996612,503893,BSE,ZSATYASL,SATYAM SILK MILLS
111,INE579B01039,129024004,504000,BSE,ELPROINTL,ELPRO INTERNATIONAL
112,INE064H01021,129031172,504028,BSE,GEE,GEE
113,INE511D01012,129043460,504076,BSE,JYOTI,JYOTI
114,INE581L01018,129044484,504080,BSE,JSLINDL,JSL INDUSTRIES
115,INE813G01023,129045508,504084,BSE,KAYCEEI,KAYCEE INDUSTRIES
116,INE716F01012,129047556,504092,BSE,INDOKEM,INDOKEM
117,INE795A01017,129047812,504093,BSE,PANAENERG,PANASONIC ENERGY INDIA COMPANY
118,INE418E01018,129057796,504132,BSE,PERMAGN,PERMANENT MAGNETS
119,INE783E01023,129069060,504176,BSE,HIGHENE,HIGH ENERGY BATTERIES (INDIA)
120,INE502C01039,129070084,504180,BSE,STDBAT,STANDARD BATTERIES
121,INE872E01016,129085444,504240,BSE,DLTNCBL,DELTON CABLES
122,INE284C01018,129090052,504258,BSE,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYS
123,INE064R01012,129093892,504273,BSE,MODULEX,MODULEX CONSTRUCTION TECHNOLOG
124,INE180M01033,129111044,504340,BSE,LONGSPUR,LONGSPUR INTERNATIONAL VENTURE
125,INE507F01023,129113860,504351,BSE,EMPOWER,EMPOWER INDIA
126,INE017P01014,129115140,504356,BSE,ZMULTIPU,MULTIPURPOSE TRADING & AGENCIE
127,INE07LK01010,129117444,504365,BSE,RIDHISYN,RIDHI SYNTHETICS
128,INE927M01029,129118468,504369,BSE,GRANDMA,GRANDMA TRADING & AGENCIES
129,INE0LKP01014,129118724,504370,BSE,ZARDIINV,ARDI INVESTMENT & TRADING
130,INE459E01012,129120004,504375,BSE,SOFTBPO,SOFTBPO GLOBAL SERVICES
131,INE812K01027,129120772,504378,BSE,NYSSACORP,NYSSA CORPORATION
132,INE952M01019,129121284,504380,BSE,FLOMIC,FLOMIC GLOBAL LOGISTICS LIMITE
133,INE537L01010,129124356,504392,BSE,KRISHNA,KRISHNA VENTURES
134,INE932M01011,129125636,504397,BSE,GANHOLD,GANESH HOLDINGS
135,INE361D01012,129178884,504605,BSE,UNIABEXAL,UNI ABEX ALLOY PRODUCTS
136,INE106G01014,129189380,504646,BSE,BGWTATO,BHAGWATI AUTOCAST
137,INE089T01023,129189892,504648,BSE,BOMBWIR,BOMBAY WIRE ROPES
138,INE255C01026,129202436,504697,BSE,GALADA,GALADA POWER & TELECOMMUNICATI
139,INE566M01017,129211140,504731,BSE,AZADIND,AZAD INDIA MOBILITY
140,INE359D01024,129214980,504746,BSE,INLCM,INDIAN LINK CHAIN MANUFACTURES
141,INE155E01016,129225220,504786,BSE,INVPRECQ,INVESTMENT & PRECISION CASTING
142,INE123E01014,129231364,504810,BSE,INFORTEC,INFORMED TECHNOLOGIES INDIA LT
143,INE375D01012,129239044,504840,BSE,KAIRA,KAIRA CAN CO.LTD.
144,INE166R01015,129249796,504882,BSE,NATIONSTD,NATIONAL STANDARD (INDIA)
145,INE336C01016,129255172,504903,BSE,RATHIST,RATHI STEEL & POWER
146,INE340F01011,129256452,504908,BSE,DUNCANENG,DUNCAN ENGINEERING 
147,INE755D01015,129269508,504959,BSE,STOVACQ,STOVEC INDUSTRIES
148,INE380G01015,129276932,504988,BSE,ZWELCAST,WELCAST STEELS
149,INE187U01015,129279492,504998,BSE,WMINIMT,WESTERN MINISTIL
150,INE0NY101012,129288196,505032,BSE,AUTOPRD,AUTOMOBILE PRODUCTS OF INDIA L
151,INE451C01013,129289220,505036,BSE,ACGL,AUTOMOBILE CORPORATION OF GOA
152,INE116C01012,129321732,505163,BSE,ZFSTEERING,Z.F.STEERING GEAR (INDIA)
153,INE280F01019,129334276,505212,BSE,JAINEX,JAINEX AAMCOL
154,INE782D01027,129335300,505216,BSE,ALFREDHE,ALFRED HERBERT (INDIA)
155,INE232E01013,129339396,505232,BSE,VELJAN,VELJAN DENISON
156,INE631D01026,129344004,505250,BSE,GGDPROP,G. G. DANDEKAR PROPERTIES LIMI
157,INE637D01015,129352964,505285,BSE,TULIVE,TULIVE DEVELOPERS
158,INE731D01024,129356548,505299,BSE,KPT,KPT INDUSTRIES
159,INE718M01022,129357316,505302,BSE,LAKSHMIEW,LAKSHMI ENGINEERING AND WAREHO
160,INE732D01014,129361924,505320,BSE,LYNMC,LYNX MACHINERY & COMMERCIALS L
161,INE098E01026,129366020,505336,BSE,HARSHILAGR,HARSHIL AGROTECH
162,INE811D01024,129367812,505343,BSE,MONOT,MONOTYPE INDIA
163,INE984B01023,129371652,505358,BSE,INTEGRAEN,INTEGRA ENGINEERING INDIA
164,INE953M01033,129408516,505502,BSE,PSITINFRA,PS IT INFRASTRUCTURE & SERVICE
165,INE809Q01020,129409028,505504,BSE,GHVINFRA,GHV INFRA PROJECTS
166,INE203N01015,129411844,505515,BSE,SHYMINV,SHYAMKAMAL INVESTMENTS
167,INE721U01011,129413124,505520,BSE,ZHEMHOLD,HEM HOLDINGS & TRADING
168,INE272E01027,129413892,505523,BSE,MAHACORP,MAHARASHTRA CORPORATION
169,INE735U01011,129429764,505585,BSE,ZKOVALIN,KOVALAM INVESTMENT & TRADING C
170,INE886E01016,129432068,505594,BSE,MULTIIN,MULTIPLUS HOLDINGS
171,INE178E01026,129446404,505650,BSE,SKYLMILAR,SKYLINE MILLARS
172,INE469A01019,129454340,505681,BSE,BIMETAL,BIMETAL BEARINGS
173,INE614R01014,129455364,505685,BSE,TAPARIA,TAPARIA TOOLS
174,INE856A01017,129456644,505690,BSE,BRADYM,BRADY & MORRIS ENGINEERING CO.
175,INE501N01020,129457412,505693,BSE,LATIMMETAL,LA TIM METAL & INDUSTRIES LIMI
176,INE498D01012,129459972,505703,BSE,DECANBRG,DECCAN BEARINGS
177,INE266D01021,129461764,505710,BSE,GRAUWEIL,GRAUER & WEIL (INDIA)
178,INE705G01021,129462276,505712,BSE,HIMTEK,HIM TEKNOFORGE
179,INE598D01035,129465604,505725,BSE,ALGOQUANT,ALGOQUANT FINTECH
180,INE638A01035,129466628,505729,BSE,SINGER,SINGER INDIA
181,INE403C01014,129468676,505737,BSE,INTLCOMBQ,INTERNATIONAL COMBUSTION (INDI
182,INE636D01041,129472004,505750,BSE,JOSTS,JOSTS ENGINEERING CO.LTD.
183,INE775R01013,129486596,505807,BSE,ROLCOEN,ROLCON ENGINEERING CO.LTD.
184,INE568F01017,129491716,505827,BSE,SNL,SNL BEARINGS
185,INE058D01030,129495044,505840,BSE,JAIPAN,JAIPAN INDUSTRIES
186,INE765D01022,129503236,505872,BSE,WPIL,WPIL
187,INE717A01029,129507844,505890,BSE,KENNAMET,KENNAMETAL INDIA
188,INE724D01011,129508612,505893,BSE,HINDHARD,HINDUSTAN HARDY
189,INE440G01017,129530372,505978,BSE,TRITONV,TRITON VALVES
190,INE618D01015,129536772,506003,BSE,SUDAI,SUDAL INDUSTRIES
191,INE219D01012,129542148,506024,BSE,HVL,HARIYANA VENTURES
192,INE821R01015,129546756,506042,BSE,ZPRBHSTE,PRABHU STEEL INDUSTRIES
193,INE441L01015,129562884,506105,BSE,STANROS,STANROSE MAFATLAL INVESTMENTS
194,INE07I701011,129566724,506120,BSE,ALNATRD,ALNA TRADING & EXPORTS
195,INE820M01018,129567236,506122,BSE,VOLKAI,KAIROSOFT AI SOLUTIONS 
196,INE383L01019,129568772,506128,BSE,PARNAXLAB,PARNAX LAB
197,INE512D01028,129570308,506134,BSE,GOURMET,GOURMET GATEWAY INDIA
198,INE073I01012,129577220,506161,BSE,ISHWATR,ISHWARSHAKTI HOLDINGS & TRADER
199,INE122V01010,129577476,506162,BSE,TERRAFORM,TERRAFORM MAGNUM
200,INE070K01014,129578500,506166,BSE,APIS,APIS INDIA
201,INE092P01017,129581572,506178,BSE,VELOX,VELOX SHIPPING AND LOGISTICS L
202,INE668L01013,129582084,506180,BSE,EMERGENT,EMERGENT INDUSTRIAL SOLUTIONS
203,INE403B01016,129583620,506186,BSE,GCKL,GALAXY CLOUD KITCHENS
204,INE978L01016,129584644,506190,BSE,ZSARVAMA,SARVAMANGAL MERCANTILE CO.LTD.
205,INE320M01019,129629444,506365,BSE,STARSOURCE,STARSOURCE MULTITRADE
206,INE225B01021,129641988,506414,BSE,FERMENTA,FERMENTA BIOTECH
207,INE693E01016,129669124,506520,BSE,JAYCH,JAYSHREE CHEMICALS
208,INE881E01017,129671172,506528,BSE,KELENRG,KELTECH ENERGIES
209,INE060E01018,129671684,506530,BSE,KEMP,KEMP & COMPANY
210,INE265B01019,129672196,506532,BSE,NITTAGELA,NITTA GELATIN INDIA
211,INE468C01017,129675012,506543,BSE,MPAGI,M.P.AGRO INDUSTRIES
212,INE321D01016,129684228,506579,BSE,AGVENTURES,AG VENTURES
213,INE615W01011,129684484,506580,BSE,PBGLOBAL,PB GLOBAL 
214,INE841D01013,129688836,506597,BSE,AMAL,AMAL
215,INE752B01024,129690884,506605,BSE,POLYCHEM,POLYCHEM
216,INE218N01021,129699844,506640,BSE,ZR2,ZR2 BIOENERGY
217,INE405A01021,129711364,506685,BSE,ULTRAMAR,ULTRAMARINE & PIGMENTS
218,INE687A01016,129711876,506687,BSE,TRANSPEK,TRANSPEK INDUSTRY
219,INE741A01011,129723908,506734,BSE,MYSORPETRO,MYSORE PETRO CHEMICALS
220,INE400A01014,129742852,506808,BSE,TUTIALKA,TUTICORIN ALKALI CHEMICALS AND
221,INE639B01015,129754628,506854,BSE,TANFACIND,TANFAC INDUSTRIES
222,INE636P01011,129755652,506858,BSE,GUJPETR,GUJARAT PETROSYNTHESE
223,INE716M01034,129756932,506863,BSE,SWADEIN,SWADESHI INDUSTRIES LEASING CO
224,INE467X01023,129767940,506906,BSE,SCBL,SAPTAK CHEM AND BUSINESS LIMIT
225,INE987A01010,129771268,506919,BSE,MAKERSL,MAKERS LABORATORIES
226,INE423K01015,129775364,506935,BSE,CONTCHM,CONTINENTAL CHEMICALS
227,INE684U01011,129777924,506945,BSE,IGLFXPL-B,INDO GULF INDUSTRIES
228,INE334N01018,129778436,506947,BSE,ADVPETR-B,ADVANCE PETROCHEMICALS
229,INE374C01017,129785604,506975,BSE,RAJSPTR,RAJASTHAN PETRO SYNTHETICS
230,INE046E01025,129786628,506979,BSE,APTPACK,APT PACKAGING
231,INE472D01017,129787140,506981,BSE,BLUECHIPT,BLUE CHIP TEX INDUSTRIES
232,INE574A01016,129831684,507155,BSE,JAGAJITIND,JAGATJIT INDUSTRIES
233,INE133B01027,129838084,507180,BSE,KESARENT,KESAR ENTERPRISES
234,INE044N01021,129859844,507265,BSE,EMERALL,EMERALD LEISURES 
235,INE615A01025,129868804,507300,BSE,RAVALSUGAR,THE RAVALGAON SUGAR FARM LIMIT
236,INE991B01010,129913348,507474,BSE,KFBL,KOTHARI FERMENTATION & BIOCHEM
237,INE470N01010,129916420,507486,BSE,CAPRO,CAPROLACTAM CHEMICALS
238,INE544C01023,129919492,507498,BSE,PICCASUG,PICCADILY SUGAR & ALLIED INDUS
239,INE557D01015,129923844,507515,BSE,CJGEL,C.J.GELATINE PRODUCTS
240,INE04VT01017,129927684,507530,BSE,THAKKERS,THAKKERS GROUP
241,INE495D01018,129931012,507543,BSE,CORAGRO,COROMANDEL AGRO PRODUCTS & OIL
242,INE014E01015,129945092,507598,BSE,KLRFM,KOVILPATTI LAKSHMI ROLLER FLOU
243,INE286E01019,129947908,507609,BSE,OLYOI,OLYMPIC OIL INDUSTRIES
244,INE588G01021,129950980,507621,BSE,MLKFOOD,MILKFOOD
245,INE339F01021,129957124,507645,BSE,POLSON,POLSON
246,INE131O01024,129961732,507663,BSE,SIGNGCL,SIGNATURE GREEN CORPORATION LI
247,INE247F01018,129968644,507690,BSE,ORIBEVER,ORIENT BEVERAGES
248,INE284B01028,129984772,507753,BSE,TGVSL,TGV SRAAC 
249,INE891G01011,129986308,507759,BSE,LIMECHM,LIME CHEMICALS
250,INE357P01014,129998852,507808,BSE,UNTTEMI,UNITED LEASING & INDUSTRIES LT
251,INE296D01010,130000132,507813,BSE,NOL,NATIONAL OXYGEN
252,INE469D01013,130001156,507817,BSE,WIREFABR,WIRES & FABRIKS (SA)
253,INE880B01015,130003972,507828,BSE,ANSALHSG,ANSAL HOUSING
254,INE607B01012,130005252,507833,BSE,COMPUPN,COMPUTER POINT
255,INE435D01014,130006020,507836,BSE,MCCHRLS-B,MAC CHARLES (INDIA)
256,INE757C01021,130010116,507852,BSE,ADDIND,ADDI INDUSTRIES
257,INE746D01014,130013188,507864,BSE,PIONRINV,PIONEER INVESTCORP
258,INE372I01018,130015236,507872,BSE,ASHNOOR,ASHNOOR TEXTILE MILLS
259,INE724A01017,130025476,507912,BSE,LKPFIN,LKP FINANCE
260,INE706N01017,130026756,507917,BSE,EASTBUILD,EAST BUILDTECH
261,INE798E01013,130032132,507938,BSE,MNPLFIN,MANIPAL FINANCE CORPORATION LT
262,INE704G01024,130033668,507944,BSE,BAJAJST,BAJAJ STEEL INDUSTRIES
263,INE845A01028,130034180,507946,BSE,KIDUJA,KIDUJA INDIA
264,INE130F01016,130034692,507948,BSE,KEYCORP,KEY CORP
265,INE02BV01019,130035716,507952,BSE,SHIKHARLETR,SHIKHAR LEASING & TRADING
266,INE621C01011,130037764,507960,BSE,GUJHOTE,GUJARAT HOTELS
267,INE455H01013,130038276,507962,BSE,FYNX,FYNX CAPITAL
268,INE651D01016,130039300,507966,BSE,RASRESOR,RAS RESORTS & APART HOTELS
269,INE289M01016,130039812,507968,BSE,JOLYPLS,JOLLY PLASTIC INDUSTRIES
270,INE143I01013,130040324,507970,BSE,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LT
271,INE726D01016,130043140,507981,BSE,JINDHOT,JINDAL HOTELS
272,INE358F01013,130043908,507984,BSE,SERIND,SER INDUSTRIES
273,INE990E01016,130044676,507987,BSE,JPTRLES,JUPITER INDUSTRIES & LEASING L
274,INE657D01021,130047492,507998,BSE,SIMMOND,SIMMONDS MARSHALL
275,INE489D01011,130082820,508136,BSE,BNALTD,B & A
276,INE979B01015,130172420,508486,BSE,HAWKINCOOK,HAWKINS COOKERS
277,INE712A01012,130174468,508494,BSE,WARRENTEA,WARREN TEA
278,INE788M01017,130194180,508571,BSE,COCHMAL,COCHIN MALABAR ESTATES & INDUS
279,INE553F01035,130217988,508664,BSE,BESTEAST,BEST EASTERN HOTELS
280,INE605D01012,130219524,508670,BSE,NEAGI,NEELAMALAI AGRO INDUSTRIES
281,INE684B01029,130254596,508807,BSE,ISTLTD,IST
282,INE800K01014,130269956,508867,BSE,NEWMKTADV,NEW MARKETS ADVISORY
283,INE861H01020,130272004,508875,BSE,NITINCAST,NITIN CASTINGS 
284,INE641A01013,130279684,508905,BSE,NEXOME,NEXOME CAPITAL MARKETS
285,INE791H01011,130283012,508918,BSE,IRONWOOD,IRONWOOD EDUCATION
286,INE331L01026,130284036,508922,BSE,MSRINDIA,MSR INDIA
287,INE013E01017,130288900,508941,BSE,PANCARBON,PANASONIC CARBON INDIA CO.LTD.
288,INE549B01016,130292740,508956,BSE,HBLEAS,HB LEASING & FINANCE CO.LTD.
289,INE753D01010,130294020,508961,BSE,SHRICON,SHRICON INDUSTRIES
290,INE668Y01016,130294532,508963,BSE,TRUSTWAVE,TRUSTWAVE SECURITIES
291,INE673M01029,130296068,508969,BSE,SULABEN,SULABH ENGINEERS & SERVICES LT
292,INE977E01013,130298884,508980,BSE,FRONTCAP,FRONTIER CAPITAL
293,INE511J01027,130302212,508993,BSE,KEDIACN,KEDIA CONSTRUCTION CO.LTD.
294,INE074J01018,130304772,509003,BSE,TRANOCE,TRANSOCEANIC PROPERTIES
295,INE190F01028,130307844,509015,BSE,THAKRAL,THAKRAL SERVICES (INDIA)
296,INE088E01019,130310148,509024,BSE,GOLDLEG,GOLDEN LEGAND LEASING & FINANC
297,INE117F01013,130310660,509026,BSE,VJTFEDU,VJTF EDUSERVICES
298,INE763D01019,130313732,509038,BSE,VOLLF,VOLTAIRE LEASING & FINANCE
299,INE040F01033,130314244,509040,BSE,NETLINK,NETLINK SOLUTIONS (INDIA)
300,INE778N01016,130315780,509046,BSE,TRILIANCE,TRILIANCE POLYMERS
301,INE300B01022,130317060,509051,BSE,INDINFO,INDIAN INFOTECH & SOFTWARE
302,INE521L01030,130317572,509053,BSE,BANASFN,BANAS FINANCE
303,INE525B01016,130322692,509073,BSE,HATHWAYB,HATHWAY BHAWANI CABLETEL & DAT
304,INE107J01016,130325508,509084,BSE,PHOTON,PHOTON CAPITAL ADVISORS
305,INE811Q01018,130329348,509099,BSE,OSWALEA,OSWAL LEASING
306,INE802D01023,130345476,509162,BSE,INDAG,INDAG RUBBER
307,INE159E01026,130354180,509196,BSE,MMRUBBR-B,MM RUBBER COMPANY
308,INE367E01033,130412292,509423,BSE,SEL,SANATHNAGAR ENTERPRISES LIMITE
309,INE664D01019,130416132,509438,BSE,BENARAS,BENARES HOTELS
310,INE026I01010,130418948,509449,BSE,BHAGWOX,BHAGWATI OXYGEN
311,INE01TL01014,130424324,509470,BSE,BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMI
312,INE145E01017,130424836,509472,BSE,CRAVATEX,CRAVATEX
313,INE479A01018,130428420,509486,BSE,CAPRIHANS,CAPRIHANS INDIA
314,INE515H01014,130438404,509525,BSE,EMPIND,EMPIRE INDUSTRIES
315,INE214F01026,130443780,509546,BSE,GRAVISSHO,GRAVISS HOSPITALITY
316,INE925D01014,130448132,509563,BSE,GARWAMAR,GARWARE MARINE INDUSTRIES
317,INE722D01015,130456836,509597,BSE,HARDCAS,HARDCASTLE & WAUD MFG.CO.LTD.
318,INE083O01019,130470404,509650,BSE,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.
319,INE972A01020,130491396,509732,BSE,KOTIC,KOTHARI INDUSTRIAL CORPORATION
320,INE370A01019,130498564,509760,BSE,MODRNSH,MODERN SHARES & STOCKBROKERS L
321,INE848M01019,130499076,509762,BSE,MAPROIN,MAPRO INDUSTRIES
322,INE880P01015,130504196,509782,BSE,OSEASPR,OSEASPRE CONSULTANTS
323,INE940N01012,130517764,509835,BSE,PREMSYN,PREMIER SYNTHETICS
324,INE712Z01019,130520324,509845,BSE,RJSHAH,R.J.SHAH & CO.LTD.
